Census year,Block ID,CLUE small area,Seating type,Number of seats,Longitude,Latitude
2012,87,Melbourne (CBD),Seats - Indoor,10,144.966972,-37.80966479
2007,35,Melbourne (CBD),Seats - Outdoor,20,144.9657868,-37.8150783
2009,64,Melbourne (CBD),Seats - Indoor,66,144.9617496,-37.81327298
2020,91,West Melbourne (Residential),Seats - Indoor,25,144.9536295,-37.81236189
2018,802,Southbank,Seats - Indoor,35,144.962154,-37.82167834
2021,732,Southbank,Seats - Outdoor,10,144.9590507,-37.82730523
2005,759,Melbourne (Remainder),Seats - Outdoor,76,144.9780214,-37.84040849
2021,4,Melbourne (CBD),Seats - Outdoor,4,144.9654695,-37.81866345
2016,85,Melbourne (CBD),Seats - Indoor,70,144.9641144,-37.81088675
2024,658,East Melbourne,Seats - Indoor,3240,144.9832828,-37.81992883
2022,1110,Docklands,Seats - Indoor,80,144.9356322,-37.81223234
2016,409,West Melbourne (Residential),Seats - Indoor,24,144.9421402,-37.80592143
2013,74,Melbourne (CBD),Seats - Outdoor,4,144.9611344,-37.81200936
2005,76,Melbourne (CBD),Seats - Indoor,60,144.9657128,-37.81065936
2017,97,Melbourne (CBD),Seats - Outdoor,12,144.9681732,-37.80752222
2012,247,Carlton,Seats - Outdoor,28,144.9672464,-37.80158026
2018,852,Melbourne (Remainder),Seats - Indoor,200,144.975496,-37.82969777
2004,753,Southbank,Seats - Indoor,62,144.9662825,-37.8206646
2005,56,Melbourne (CBD),Seats - Indoor,100,144.9676241,-37.81269894
2012,257,Carlton,Seats - Indoor,6,144.9610729,-37.80239254
2022,850,Melbourne (Remainder),Seats - Outdoor,16,144.972123,-37.8206628
2015,56,Melbourne (CBD),Seats - Indoor,120,144.9674041,-37.81199729
2010,1109,Docklands,Seats - Outdoor,30,144.9393643,-37.81579456
2023,2384,North Melbourne,Seats - Outdoor,10,144.9409616,-37.78974399
2020,1108,Docklands,Seats - Indoor,30,144.9405346,-37.82003426
2002,113,Melbourne (CBD),Seats - Outdoor,24,144.957249,-37.80746124
